新闻id,时间,内容,score_a,score_b,score_diff,label_a,label_b,label_match,label_distance,primary_a,primary_b,primary_match,types_a,types_b,types_exact_match,types_jaccard,one_no_risk_one_risk,types_disjoint,consistency_level,suggested_action,a_risk_score,a_risk_label,a_raw_risk_label,a_risk_types,a_primary_risk_type,a_reason,a_confidence,a_summary,b_risk_score,b_risk_label,b_raw_risk_label,b_risk_types,b_primary_risk_type,b_reason,b_confidence,b_summary
1,2026-04-20 18:53:37,"比特币期权市场本周五将迎来约79亿美元集中到期 比特币期权市场将于本周五迎来约79亿美元规模的集中到期。据 BlockBeats 报道，其中约3.95亿美元看涨期权集中在7.5万美元执行价附近。

当前资金费率转为负值，反映市场整体偏空布局；若价格持续站稳该关键水平上方，潜在空头挤压风险或将加剧。",45,25,20,medium,low,False,1,异常行情波动风险,爆仓 / 清算风险,False,"[""异常行情波动风险"", ""爆仓 / 清算风险""]","[""爆仓 / 清算风险"", ""异常行情波动风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""异常行情波动风险"", ""爆仓 / 清算风险""]",异常行情波动风险,比特币期权市场即将迎来大规模到期，资金费率转为负值显示市场偏空，若价格站稳关键价位可能引发空头挤压，造成价格剧烈波动和潜在清算风险，但对整体市场冲击有限。,0.7,比特币期权79亿美元到期，空头挤压风险加剧。,25,low,low,"[""爆仓 / 清算风险"", ""异常行情波动风险""]",爆仓 / 清算风险,新闻描述比特币期权大规模到期及资金费率转负引发的潜在空头挤压风险，属于市场结构分析，目前未发生实际损失或极端行情，整体风险较低。,0.85,比特币期权周五将到期79亿美元，看涨期权集中于7.5万美元，资金费率负值或加剧空头挤压风险。
8,2026-04-20 17:55:19,Bitcoin价格高于最大痛苦点，交易者面临潜在挤压 Bitcoin价格高于最大痛苦点，交易者面临潜在挤压或回调。据CoinDesk报道，市场在75K位置上有大量持仓，可能导致价格回落至“最大痛苦”到期点。,25,25,0,low,low,True,0,异常行情波动风险,无明显风险,False,"[""异常行情波动风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""异常行情波动风险""]",异常行情波动风险,新闻仅分析期权市场最大痛苦点位置，预测比特币价格可能面临回调或挤压，属于常见市场观点，未发生实际损失或明确负面事件，风险有限。,0.8,比特币价格高于最大痛苦点，分析师警告可能出现回调。,25,low,low,[],无明显风险,新闻分析了比特币期权到期可能引发的价格回调风险，属于常规市场分析，未出现实际攻击、损失或重大异常事件，整体风险较低,0.92,比特币价格高于最大痛苦点，期权到期或引发潜在回调
14,2026-04-20 17:25:38,BIS 总经理警告大型美元稳定币可能威胁金融稳定 BIS 总经理 Pablo Hernández de Cos 警告称，如果大型美元稳定币增长到足以与传统货币竞争，可能会威胁金融稳定和经济政策。据 NS3 报道，他指出，USDT 和 USDC 更像投资产品而非现金，因为存在赎回摩擦和偏离面值的情况。此番言论正值欧洲、英国和瑞士完善不同的稳定币监管方法之际。,20,45,25,low,medium,False,1,监管与法律风险,监管与法律风险,True,"[""监管与法律风险"", ""稳定币异常风险""]","[""监管与法律风险""]",False,0.5,False,False,C_severe_conflict,human_review_priority,20,low,low,"[""监管与法律风险"", ""稳定币异常风险""]",监管与法律风险,新闻仅涉及BIS官员对稳定币潜在风险的警告性言论，属于监管层观点表达，并未出现实际脱锚、赎回危机或执法行动，整体风险较低。,0.85,BIS总经理警告大型美元稳定币可能威胁金融稳定，称其存在赎回摩擦和偏离面值问题。,45,medium,medium,"[""监管与法律风险""]",监管与法律风险,BIS总经理警告大型稳定币可能威胁金融稳定，指出USDT和USDC存在赎回摩擦和偏离面值问题，此类监管层警告可能加大稳定币的监管不确定性，对相关项目构成中等风险。,0.85,BIS总经理警告大型稳定币可能威胁金融稳定，指USDT和USDC更像投资产品。
18,2026-04-20 16:53:57,SKYAI 暴跌超 50%，现报 0.1 美元 行情数据显示，SKYAI 短时下跌超 50%，现报 0.1 美元。据Odaily星球日报报道，市场对该资产的波动性表示关注。,75,60,15,high,medium,False,1,异常行情波动风险,异常行情波动风险,True,"[""异常行情波动风险""]","[""异常行情波动风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,75,high,high,"[""异常行情波动风险""]",异常行情波动风险,新闻明确显示 SKYAI 代币短时暴跌超过 50%，属于典型的异常行情波动，可能引发投资者恐慌和资产损失，风险较高。,0.9,SKYAI 代币短时暴跌超 50% 至 0.1 美元，市场关注其波动性。,60,medium,medium,"[""异常行情波动风险""]",异常行情波动风险,新闻显示SKYAI代币短时间内暴跌超过50%，属于显著异常行情波动，可能对持有者造成较大资产损失，但未披露暴跌原因，因此评为中等风险。,0.92,SKYAI代币短时暴跌超50%至0.1美元，市场关注波动性。
21,2026-04-20 16:45:09,"加密货币市场 | Bitcoin价格波动可能导致大量头寸清算 据 NS3 报道，Coinglass数据显示，如果Bitcoin价格超过75,514美元，主要中心化交易所约有1.909亿美元的Bitcoin空头头寸将被清算。如果Bitcoin价格跌至73,771美元以下，约有2.9407亿美元的多头头寸将被清算。",30,45,15,low,medium,False,1,爆仓 / 清算风险,爆仓 / 清算风险,True,"[""爆仓 / 清算风险""]","[""爆仓 / 清算风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,30,low,low,"[""爆仓 / 清算风险""]",爆仓 / 清算风险,新闻为Coinglass清算地图数据报道，显示潜在清算金额，属于市场常规预警信息，尚未发生实际大规模清算事件，整体风险较低。,0.9,Coinglass数据显示若BTC价格突破特定点位将触发约1.9亿空头或2.94亿多头清算。,45,medium,medium,"[""爆仓 / 清算风险""]",爆仓 / 清算风险,"新闻披露Coinglass数据显示比特币在75,514美元和73,771美元附近分别有大量空头和多头待清算头寸，虽未实际触发，但潜在的大规模清算可能加剧价格波动并引发连锁反应，因此评为中等风险。",0.85,Coinglass数据显示比特币若触及特定价位将引发数亿美元多空清算。
24,2026-04-20 16:23:41,"Hyperliquid 早期贡献者开立 5 倍杠杆 HYPE 空单 据 BlockBeats 报道，Hyperinsight 监测显示，过去 10 分钟内，Hyperliquid 早期贡献者 Loracle 地址开立 5 倍杠杆 HYPE 空单，规模达 2.9 万枚，均价 41.04 美元。

该地址为 Hypurrfun 创始人，曾在 HYPE 自 20 美元反弹期间大举做多，规模一度超 4000 万美元。",50,30,20,medium,low,False,1,项目治理 / 团队异常风险,大额转账 / 巨鲸行为风险,False,"[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]","[""大额转账 / 巨鲸行为风险"", ""异常行情波动风险""]",False,0.3333,False,False,C_severe_conflict,human_review_priority,50,medium,medium,"[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]",项目治理 / 团队异常风险,新闻显示Hyperliquid早期贡献者开立杠杆空单，内部人士做空自身项目可能暗示对前景悲观或存在操纵，损害市场信心并可能引发价格波动，但尚未造成实际损失，评为中等风险。,0.75,Hyperliquid早期贡献者开立5倍杠杆HYPE空单,30,low,low,"[""大额转账 / 巨鲸行为风险"", ""异常行情波动风险""]",大额转账 / 巨鲸行为风险,Hyperliquid早期贡献者开立大额HYPE空单，可能被市场视为内部人士看空信号，短期或引发价格波动与投资者不安，但尚无实际损失或项目异常证据，风险较低。,0.85,Hyperliquid早期贡献者开5倍杠杆HYPE空单，规模2.9万枚。
27,2026-04-20 15:33:51,美股期货全线下跌，BTC能否回补CME缺口？ 美股三大股指期货全线下跌，引发市场关注。据 PANews 报道，投资者担心美股开盘后可能对BTC价格产生影响，尤其是CME缺口是否会被回补。市场情绪紧张，投资者密切关注美股走势对加密市场的潜在影响。,25,15,10,low,low,True,0,宏观 / 政策冲击风险,无明显风险,False,"[""宏观 / 政策冲击风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""宏观 / 政策冲击风险""]",宏观 / 政策冲击风险,新闻反映美股期货下跌引发的市场担忧情绪，可能对BTC产生间接影响，但无实际负面事件或损失，风险较低。,0.6,美股期货下跌引发市场担忧，关注BTC是否回补CME缺口。,15,low,low,[],无明显风险,新闻仅涉及美股期货下跌引发的市场情绪和对BTC价格的潜在影响猜测，未出现实际攻击、损失、监管或流动性异常，属于一般市场联动预期，风险较低。,0.95,美股期货全线下跌，投资者关注BTC是否回补CME缺口。
32,2026-04-20 14:40:36,加密市场 | Aave 多个资金池利用率达 100% 据 NS3 报道，0xQuit 表示，多个 Aave 资金池已达到 100% 的利用率，导致存款人无法提取资金，并增加了坏账风险。0xQuit 还指出，如果 ETH 价格迅速下跌，Aave 无法有效清算头寸，损失可能会加剧。,65,75,10,medium,high,False,1,偿付能力 / 储备 / 流动性风险,偿付能力 / 储备 / 流动性风险,True,"[""偿付能力 / 储备 / 流动性风险"", ""爆仓 / 清算风险""]","[""偿付能力 / 储备 / 流动性风险"", ""爆仓 / 清算风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,65,medium,medium,"[""偿付能力 / 储备 / 流动性风险"", ""爆仓 / 清算风险""]",偿付能力 / 储备 / 流动性风险,Aave多个资金池利用率达到100%，存款人无法提取资金，面临流动性枯竭；若ETH价格快速下跌，可能无法有效清算头寸并导致坏账，风险较为明确且潜在影响较大。,0.8,Aave多个资金池利用率达100%，存款无法提取，或引发坏账风险。,75,high,high,"[""偿付能力 / 储备 / 流动性风险"", ""爆仓 / 清算风险""]",偿付能力 / 储备 / 流动性风险,新闻指出Aave多个资金池利用率已达100%，导致存款人无法提取资金，存在流动性枯竭和坏账风险；若市场下跌，清算机制可能失效，损失可能扩大，属于明确的协议层流动性危机信号，影响范围较广。,0.85,Aave多个资金池利用率达100%，存款人无法提现，加剧坏账和清算风险。
45,2026-04-20 13:52:26,加密市场 | 未来7天主要代币解锁总值超3.3亿美元 未来7天内，主要代币解锁总值将超过3.3亿美元。据 NS3 报道，解锁计划包括一次性解锁超过500万美元的代币，以及每日线性解锁超过100万美元的代币。,25,5,20,low,low,True,0,异常行情波动风险,无明显风险,False,"[""异常行情波动风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""异常行情波动风险""]",异常行情波动风险,未来7天内计划解锁的代币总值超3.3亿美元，可能形成短期抛压和价格波动，但解锁为预期内事件，未出现实际异常行情，整体风险较低。,0.85,未来7天主要代币解锁总值超3.3亿美元，包含大额一次性解锁。,5,low,low,[],无明显风险,新闻仅客观报道未来7天代币解锁计划，属于常规链上数据披露，并未涉及任何损失、攻击或市场异常，整体无显著风险信号。,0.95,未来一周主要代币解锁总值超3.3亿美元
54,2026-04-20 13:03:38,以太坊合约疑似遭攻击，损失约 25.7 万美元 据 Foresight News 报道，TenArmor 监测发现以太坊上某合约疑似遭受攻击，损失约 25.7 万美元。该合约中的 uniswapV3SwapCallback 函数似乎缺少适当的访问控制。,50,75,25,medium,high,False,1,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险""]","[""链上漏洞 / 攻击风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,50,medium,medium,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻称以太坊某合约疑似因函数缺少访问控制遭攻击，损失约25.7万美元，构成链上安全风险，但损失金额相对较小且为疑似状态，因此评为中等风险。,0.85,以太坊某合约疑似遭攻击损失25.7万美元，或因访问控制缺失。,75,high,high,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,以太坊某合约因 uniswapV3SwapCallback 函数缺少访问控制而遭受攻击，已确认损失约 25.7 万美元，属于严重安全漏洞造成资产损失，风险较高。,0.9,以太坊某合约因访问控制漏洞遭攻击，损失约25.7万美元
