新闻id,内容,时间,gold_risk_score,rule_risk_score,score_diff,gold_risk_label,rule_risk_label,label_match,gold_risk_types,rule_risk_types,gold_primary_risk_type,rule_primary_risk_type,primary_type_match,gold_reason,gold_confidence,gold_summary,标题,score_hack,score_fraud,score_regulatory,score_outage,score_stablecoin,score_liquidation,score_whale,score_volatility,score_team,score_solvency,score_infra,score_macro
107,"开发者和交易员警告跨链漏洞导致数十亿美元逃离DeFi平台 开发者和交易员警告称，跨链漏洞引发恐慌，导致数十亿美元资金逃离DeFi平台。

据CoinDesk报道，随着这一漏洞的扩散，DeFi平台面临结构性风险，市场参与者纷纷撤资以规避潜在损失。",2026-04-20 01:52:20,85.0,0.0,85.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""基础设施 / 协议层异常风险"", ""偿付能力 / 储备 / 流动性风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻明确提到跨链漏洞导致数十亿美元资金逃离DeFi平台，引发恐慌和结构性风险，属于严重的安全事件。,0.95,跨链漏洞引发恐慌，数十亿美元资金逃离DeFi平台。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Kelp DAO 遭遇漏洞，损失约 2.92 亿美元 Kelp DAO 的 rsETH 桥接协议疑似被利用，损失约为 2.92 亿美元。据 NS3 报道，链上数据显示，该桥接协议基于 LayerZero。此次事件导致 116,500 枚 rsETH 的损失，引发市场关注。",2026-04-19 05:14:55,85.0,0.0,85.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""基础设施 / 协议层异常风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻明确报道 Kelp DAO 的桥接协议被利用，造成约 2.92 亿美元的重大损失，属于典型的链上漏洞攻击事件，对市场信心和项目安全构成严重威胁。,0.95,Kelp DAO 的 rsETH 桥接协议被利用，损失约 2.92 亿美元。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,Hyperbridge 桥接漏洞损失估计提高至 250 万美元 Hyperbridge 将其 Polkadot 桥接漏洞的损失估计从最初的 23.7 万美元提高到 250 万美元。据 NS3 报道，Hyperbridge 表示，最初认为盗窃仅限于 Ethereum 桥接，但 Base、BNB Chain 和 Arbitrum 上的激励池也受到影响。,2026-04-16 22:13:52,85.0,0.0,85.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""基础设施 / 协议层异常风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻报告了 Hyperbridge 桥接漏洞导致损失从 23.7 万美元大幅提高到 250 万美元，涉及多个链上的激励池，表明存在严重的安全漏洞和攻击事件。,0.95,Hyperbridge 桥接漏洞损失估计提高至 250 万美元，影响多个链上激励池。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,Polkadot 未授权铸造 10 亿枚代币，价格下跌 3.72% PeckShield 警告称，10 亿枚 Polkadot 代币在 Ethereum 上被未经授权铸造并大规模出售。据 NS3 报道，Etherscan 数据显示铸造发生在 4 月 13 日 3:55 a.m. UTC。社区分析建议 Polkadot Bridge 的漏洞可能是原因。CoinMarketCap 数据显示，DOT 交易价格为 1.18 美元，下跌 3.72%。,2026-04-13 13:02:03,85.0,0.0,85.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""异常行情波动风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻明确提到未经授权铸造10亿枚代币，疑似桥接漏洞，导致价格下跌，存在严重安全风险和市场冲击。,0.95,Polkadot在以太坊上被未经授权铸造10亿枚代币，疑似桥接漏洞，价格下跌3.72%。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Drift将重启为基于USDT的Solana永续合约DEX Drift将利用资金恢复用户资金。据CoinDesk报道，本月客户资产超过2.7亿美元被利用。该协议将重启为基于USDT的Solana永续合约DEX。,2026-04-16 21:01:11,80.0,0.0,80.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻明确提到客户资产超过2.7亿美元被利用，表明存在重大安全漏洞或攻击事件，对用户资金构成直接威胁。,0.95,Drift协议因2.7亿美元资产被利用，将重启为基于USDT的Solana永续合约DEX。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
797,以太坊 Saturn 协议存在严重漏洞，用户资金面临冻结风险 4 月 14 日，安全机构 Innora 发布报告称，以太坊理财协议 Saturn 存在两个严重漏洞。据 BlockBeats 报道，提款冻结漏洞可能导致用户资金被锁死，最短 30 天，极端情况下无限期冻结。协议特权地址每次操作可截留 33.33% 的资金，单次最多截留约 15.7 万美元，总风险高达 426 万美元。Innora 指出，Saturn 90% 以上资产由特权地址「链下」管理，用户完全依赖信任。截至报告发布时，漏洞仍未修复。,2026-04-14 18:13:57,85.0,6.0,79.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻明确报道以太坊 Saturn 协议存在严重漏洞，可能导致用户资金被冻结或截留，总风险高达 426 万美元，且漏洞未修复，直接威胁用户资产安全。,0.95,以太坊 Saturn 协议被曝存在严重漏洞，用户资金面临冻结和截留风险，总风险达 426 万美元。,,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
148,DeFi 安全警钟敲响，Aave 等协议面临巨额坏账 攻击者利用伪造消息清空主网储备，导致 rsETH 抵押品失效。据 PANews 报道，Aave 等借贷协议因此面临巨额坏账，DeFi 安全问题再次引发关注。,2026-04-19 13:33:44,85.0,30.0,55.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,新闻描述攻击者利用伪造消息清空主网储备，导致抵押品失效和巨额坏账，直接涉及链上攻击和协议偿付风险。,0.95,攻击者利用伪造消息清空Aave等协议储备，导致rsETH抵押品失效和巨额坏账。,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,量子计算威胁Bitcoin安全，数百万枚Bitcoin面临风险 谷歌最近的量子计算论文显示，一旦目标公钥暴露，Bitcoin密钥恢复攻击可能在约九分钟内完成。据NS3报道，该研究指出，少于50万个物理量子比特即可实现此攻击。约690万枚Bitcoin已在公钥暴露的钱包中面临风险。,2026-04-18 11:58:18,85.0,30.0,55.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""宏观 / 政策冲击风险""]",链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,量子计算可能威胁Bitcoin密钥安全，导致数百万枚Bitcoin面临被盗风险，属于潜在系统性安全漏洞。,0.9,量子计算研究显示Bitcoin密钥可能被快速破解，数百万枚Bitcoin面临安全威胁。,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,"Zerion 遭遇 AI 社会工程攻击，内部热钱包被盗 10 万美元 Foresight News 消息，Web3 钱包应用 Zerion 披露上周一名团队成员遭遇与朝鲜威胁行为者相关的 AI 社会工程攻击，导致公司内部热钱包约 10 万美元资金被盗。据 Foresight News 报道，用户资金及应用基础设施均未受影响。

事件发生后，Zerion 已主动下线 Web 应用并预计在 48 小时内恢复，同时轮换所有泄露凭证、锁定部署基础设施，并联合 Blockaid、ZeroShadow、ChainPatrol 等安全合作伙伴追踪攻击者钱包，被盗资金地址已向相关执法部门举报。",2026-04-15 14:44:43,75.0,20.0,55.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险""]",,链上漏洞 / 攻击风险,无明显风险,False,新闻涉及 AI 社会工程攻击导致热钱包被盗，属于明确的黑客攻击事件，尽管用户资金未受影响，但暴露了内部安全风险。,0.9,Zerion 因 AI 社会工程攻击被盗 10 万美元，已采取措施恢复并追踪攻击者。,,0.2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
373,Tether 冻结 Rhea Finance 黑客地址中的 329 万枚 USDT 据 Foresight News 报道，Tether 首席执行官 Paolo Ardoino 发推表示，Tether 已冻结 Rhea Finance 黑客地址中的 329 万枚 USDT。,2026-04-17 09:33:35,70.0,30.0,40.0,high,low,False,"[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险""]",链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,新闻涉及黑客攻击事件，Tether 冻结资金表明存在安全漏洞和资产风险，可能影响市场信心。,0.9,Tether 冻结 Rhea Finance 黑客地址中的 329 万枚 USDT。,,0.3,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
