新闻id,时间,内容,score_a,score_b,score_diff,label_a,label_b,label_match,label_distance,primary_a,primary_b,primary_match,types_a,types_b,types_exact_match,types_jaccard,one_no_risk_one_risk,types_disjoint,consistency_level,suggested_action,a_risk_score,a_risk_label,a_raw_risk_label,a_risk_types,a_primary_risk_type,a_reason,a_confidence,a_summary,b_risk_score,b_risk_label,b_raw_risk_label,b_risk_types,b_primary_risk_type,b_reason,b_confidence,b_summary
49,2026-04-20 13:24:22,以太坊未来四年路线图聚焦扩展与量子安全 以太坊联合创始人Vitalik Buterin表示，以太坊的四年路线图将重点放在扩展和量子安全上，目标是在2028年前实现大规模扩展。据NS3报道，计划包括引入CKEVM以支持更复杂的计算、账户抽象以增强智能合约钱包功能，以及为后量子密码学做早期准备。Buterin还提到，以太坊计划在1至3个区块内实现最终性，并支持移动设备上的链验证zkVM。,12,0,12,low,low,True,0,无明显风险,无明显风险,True,[],[],True,1.0,False,False,B_minor_conflict,llm_adjudication,12,low,low,[],无明显风险,新闻仅描述以太坊未来四年技术路线图，聚焦扩展和量子安全等正常发展规划，未出现攻击、损失、监管或市场异常信号，整体风险很低。,0.95,Vitalik提出以太坊四年路线图，聚焦扩展和量子安全，计划引入CKEVM等。,0,low,low,[],无明显风险,新闻仅描述以太坊未来四年技术路线图规划，涉及扩展和量子安全，属于正常生态发展动态，未出现任何安全事件、监管执法、市场异常或资产损失风险，整体风险极低。,0.95,Vitalik公布以太坊四年路线图，聚焦扩展与量子安全。
63,2026-04-20 11:52:37,比特币现货ETF上周净流入9.96亿美元，连续3周实现净流入 Odaily星球日报报道，根据 SoSoValue 数据，上周交易日（美东时间 4 月 13 日至 4 月 17 日）比特币现货 ETF 净流入 9.96 亿美元。上周净流入最多的比特币现货 ETF 为贝莱德（Blackrock）ETF IBIT，周度净流入为 9.06 亿美元，目前 IBIT 历史总净流入达 646.30 亿美元。其次为 Ark & 21 Shares ETF ARKB，周度净流入为 9850.36 万美元，目前 ARKB 历史总净流入达 15.50 亿美元。上周净流出最多的比特币现货 ETF 为富达（Fidelity）ETF FBTC，周度净流出为 1.04 亿美元，目前 FBTC 历史总净流入达 110.10 亿美元。截至发稿前，比特币现货 ETF 总资产净值为 1014.50 亿美元，ETF 净资产比率（市值较比特币总市值占比）达 6.55%，历史累计净流入已达 577.40 亿美元。,0,15,15,low,low,True,0,无明显风险,无明显风险,True,[],[],True,1.0,False,False,B_minor_conflict,llm_adjudication,0,low,low,[],无明显风险,新闻仅报告比特币现货ETF资金流入数据，属于普通市场信息，未出现负面事件或异常信号，因此风险极低。,0.98,比特币现货ETF上周净流入9.96亿美元，连续3周实现净流入,15,low,low,[],无明显风险,新闻仅报告比特币现货ETF上周净流入9.96亿美元，连续3周实现净流入，属于常规市场数据披露。未出现攻击、监管、脱锚、挤兑、系统故障或异常行情等负面风险信号，整体市场情绪中性偏积极，因此风险极低。,0.95,比特币现货ETF上周净流入9.96亿美元，连续3周净流入。
76,2026-04-20 10:35:16,地缘政治 | 比特币回落至7.5万美元，市场遭多重冲击 Kelp DAO因rsETH可疑活动暂停合约并启动调查。据PANews报道，Lido暂停earnETH存款。ZachXBT揭露RAVE代币操纵导致散户巨亏。地缘紧张与多起安全事件冲击市场，比特币回落至7.5万美元，DeFi协议出现大规模资金外流。,75,75,0,high,high,True,0,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险"", ""异常行情波动风险"", ""偿付能力 / 储备 / 流动性风险"", ""基础设施 / 协议层异常风险""]","[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险"", ""基础设施 / 协议层异常风险"", ""宏观 / 政策冲击风险""]",False,0.5,False,False,B_minor_conflict,llm_adjudication,75,high,high,"[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险"", ""异常行情波动风险"", ""偿付能力 / 储备 / 流动性风险"", ""基础设施 / 协议层异常风险""]",链上漏洞 / 攻击风险,新闻汇总了多起负面事件：Kelp DAO因rsETH可疑活动暂停合约并启动调查，Lido暂停earnETH存款，RAVE代币操纵致散户巨亏，DeFi协议大规模资金外流，比特币下跌。这些事件表明市场面临安全漏洞、流动性压力和信任危机，整体风险较高。,0.9,Kelp DAO和Lido因安全疑虑暂停业务，RAVE代币操纵致市场下跌和资金外流。,75,high,high,"[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险"", ""基础设施 / 协议层异常风险"", ""宏观 / 政策冲击风险""]",链上漏洞 / 攻击风险,新闻涉及Kelp DAO合约可疑活动、Lido暂停存款等多起安全事件，同时揭露RAVE代币操纵，叠加地缘政治紧张，引发比特币回落和DeFi资金外流，负面风险明确且影响广泛，故评为高风险。,0.9,多起DeFi安全事件与地缘紧张冲击市场，比特币回落至7.5万美元，DeFi协议资金外流。
77,2026-04-20 10:23:36,Bless 项目方出售 3784 万枚 BLESS，跨链至 BSC 据 Foresight News 报道，Bless 项目方于 4 小时前将 1 亿枚 BLESS 从 Solana 跨至 BSC 并出售。目前其已卖出 3784 万枚 BLESS，换得 334 枚 BNB。,50,65,15,medium,medium,True,0,项目治理 / 团队异常风险,项目治理 / 团队异常风险,True,"[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]","[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]",True,1.0,False,False,B_minor_conflict,llm_adjudication,50,medium,medium,"[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]",项目治理 / 团队异常风险,项目方主动将大量代币跨链出售，可能引发市场抛压和价格下行，损害持币者信心，属于团队异常操作，但尚未确认是否系跑路或恶意行为，故评为中等风险。,0.9,Bless项目方将3784万枚BLESS跨至BSC并出售，换得334枚BNB。,65,medium,medium,"[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]",项目治理 / 团队异常风险,Bless 项目方将大量代币跨链并持续出售，已卖出 3784 万枚换取 BNB，这一行为可能引发价格下跌、投资者恐慌和信任危机，对代币持有者构成较直接的负面冲击。,0.92,Bless 项目方跨链抛售 3784 万枚 BLESS，换得 334 枚 BNB。
104,2026-04-20 03:27:53,EasyDNS 承认 ENS 网关 eth.limo 短暂劫持事件 EasyDNS 承认对 ENS 网关 eth.limo 的短暂劫持负责，该网关的通配符 DNS 记录覆盖约 200 万个 .eth 域名。据 NS3 报道，攻击者在注册商处使用社会工程手段，但 eth.limo 表示 DNSSEC 阻止了恶意 DNS 答复，目前尚无用户受到影响。EasyDNS CEO Mark Jeftovic 表示，这是 28 年来首次成功针对 EasyDNS 客户的社会工程攻击。,25,35,10,low,low,True,0,链上漏洞 / 攻击风险,基础设施 / 协议层异常风险,False,"[""链上漏洞 / 攻击风险"", ""基础设施 / 协议层异常风险""]","[""基础设施 / 协议层异常风险""]",False,0.5,False,False,B_minor_conflict,llm_adjudication,25,low,low,"[""链上漏洞 / 攻击风险"", ""基础设施 / 协议层异常风险""]",链上漏洞 / 攻击风险,针对 ENS 网关 eth.limo 的 DNS 劫持尝试因 DNSSEC 被阻止，未对约 200 万 .eth 域名用户造成实际影响，但暴露了社会工程攻击的潜在风险，整体风险较低。,0.85,EasyDNS 客户 eth.limo 遭短暂 DNS 劫持尝试，DNSSEC 阻止攻击，无用户受损。,35,low,low,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,EasyDNS承认eth.limo网关被短暂劫持，但DNSSEC已阻止恶意响应，用户未受影响，事件已受控，实际风险较低。,0.9,EasyDNS承认eth.limo网关遭社会工程短暂劫持，DNSSEC阻止恶意响应，用户未受影响。
107,2026-04-20 01:52:20,"开发者和交易员警告跨链漏洞导致数十亿美元逃离DeFi平台 开发者和交易员警告称，跨链漏洞引发恐慌，导致数十亿美元资金逃离DeFi平台。

据CoinDesk报道，随着这一漏洞的扩散，DeFi平台面临结构性风险，市场参与者纷纷撤资以规避潜在损失。",80,75,5,high,high,True,0,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险"", ""异常行情波动风险""]","[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",False,0.6667,False,False,B_minor_conflict,llm_adjudication,80,high,high,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险"", ""异常行情波动风险""]",链上漏洞 / 攻击风险,新闻称跨链漏洞引发市场恐慌，导致数十亿美元资金逃离DeFi平台，可能造成流动性枯竭和价格剧烈波动，属于重大市场冲击。漏洞是根本风险来源，虽未明确攻击事件，但资金流出规模已构成高风险。,0.75,跨链漏洞恐慌导致数十亿美元资金逃离DeFi平台，市场面临结构性风险。,75,high,high,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,跨链漏洞引发市场恐慌，导致数十亿美元资金大规模撤离DeFi平台，可能进一步引发资产被盗风险和流动性危机，风险明确且影响广泛。,0.85,跨链漏洞致恐慌，数十亿美元出逃DeFi平台。
113,2026-04-19 22:57:25,AAVE 代币下跌16%，存款流失 AAVE 代币下跌16%，存款从协议中流失。据CoinDesk报道，攻击者使用被抽干的 rsETH 作为抵押借入包装以太币，导致 Aave 需要量化其坏账金额。,75,75,0,high,high,True,0,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险"", ""异常行情波动风险""]","[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",False,0.6667,False,False,B_minor_conflict,llm_adjudication,75,high,high,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险"", ""异常行情波动风险""]",链上漏洞 / 攻击风险,新闻明确报道攻击者使用已被抽干的rsETH作为抵押借入wETH，导致Aave产生坏账和存款流失，AAVE代币暴跌16%，属于已确认的安全攻击事件，对协议偿付能力和市场信心构成较高风险。,0.9,攻击者利用rsETH抵押借走wETH，Aave产生坏账，代币下跌16%。,75,high,high,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,攻击者利用抽干的rsETH作为抵押借入WETH，导致Aave产生坏账，引发AAVE代币下跌16%和存款流失，协议安全与偿付能力受到明确冲击，风险较高。,0.9,Aave协议遭攻击产生坏账，AAVE代币跌16%存款流失
115,2026-04-19 22:13:42,"ETH价格波动或引发清算潮 据 ChainCatcher 报道，Coinglass 数据显示，若 ETH 突破 2,453 美元，主流 CEX 累计空单清算强度将达 7.54 亿美元。反之，若 ETH 跌破 2,220 美元，主流 CEX 累计多单清算强度将达 4.81 亿美元。",30,28,2,low,low,True,0,爆仓 / 清算风险,爆仓 / 清算风险,True,"[""爆仓 / 清算风险""]","[""异常行情波动风险"", ""爆仓 / 清算风险""]",False,0.5,False,False,B_minor_conflict,llm_adjudication,30,low,low,"[""爆仓 / 清算风险""]",爆仓 / 清算风险,新闻基于链上数据预测了ETH价格突破关键点位可能引发的潜在清算规模，但并未确认清算已实际发生，属于预警性分析，整体风险较低。,0.95,ETH若突破/跌破关键位或引发大量清算。,28,low,low,"[""异常行情波动风险"", ""爆仓 / 清算风险""]",爆仓 / 清算风险,新闻仅展示Coinglass清算数据，提示ETH价格若突破2453或跌破2220美元可能触发大规模清算，但当前并未实际发生清算事件，属于潜在市场预警信息，整体风险较低。,0.85,ETH价格若突破2453或跌破2220美元，将触发大规模清算。
124,2026-04-19 20:38:32,比特币跌至 7.5 万美元，伊朗局势影响油价 比特币在周五触及 7.84 万美元后，于周日周线收盘时跌至 7.5 万美元。据 NS3 报道，伊朗再次关闭霍尔木兹海峡，使油价重新成为关注焦点。美国和伊朗消息来源发出混合信号，使得停火协议的假设受到质疑。CoinGlass 数据显示，过去 24 小时内加密货币市场出现 2.6 亿美元的清算，主要是由于多头头寸受挫。比特币还在接近 7.89 万美元的 21 周指数移动平均线处遇到阻力。,62,50,12,medium,medium,True,0,宏观 / 政策冲击风险,宏观 / 政策冲击风险,True,"[""异常行情波动风险"", ""爆仓 / 清算风险"", ""宏观 / 政策冲击风险""]","[""异常行情波动风险"", ""爆仓 / 清算风险"", ""宏观 / 政策冲击风险""]",True,1.0,False,False,B_minor_conflict,llm_adjudication,62,medium,medium,"[""异常行情波动风险"", ""爆仓 / 清算风险"", ""宏观 / 政策冲击风险""]",宏观 / 政策冲击风险,伊朗关闭霍尔木兹海峡引发地缘政治紧张并推高油价，导致比特币下跌并触发2.6亿美元多头清算，市场面临宏观冲击和行情波动，但未形成系统性危机，因此评为中等风险。,0.9,伊朗局势紧张导致比特币跌至7.5万美元，市场清算2.6亿美元。,50,medium,medium,"[""异常行情波动风险"", ""爆仓 / 清算风险"", ""宏观 / 政策冲击风险""]",宏观 / 政策冲击风险,比特币下跌伴随伊朗关闭霍尔木兹海峡的地缘政治不确定性，引发加密市场2.6亿美元多头清算，构成中等风险。,0.85,比特币跌至7.5万美元，伊朗局势引发市场清算和油价关注。
129,2026-04-19 19:40:24,北卡罗来纳银行协会呼吁全面禁止稳定币收益 北卡罗来纳银行协会本周敦促会员银行联系参议员汤姆·蒂利斯（Thom Tillis），寻求在《CLARITY法案》中全面禁止稳定币收益。据 NS3 报道，该协会认为，尽管三月的妥协方案仍允许存款流入稳定币，但白宫经济顾问委员会的报告指出，全面收益允许仅会取代21亿美元的贷款，占总贷款的0.02%。此举在参议院银行委员会计划于四月下旬进行标记之前提出，而众议院已于2025年7月以294票对134票通过了该法案。,30,15,15,low,low,True,0,监管与法律风险,监管与法律风险,True,"[""监管与法律风险""]","[""监管与法律风险""]",True,1.0,False,False,B_minor_conflict,llm_adjudication,30,low,low,"[""监管与法律风险""]",监管与法律风险,新闻为北卡罗来纳银行协会呼吁在立法中全面禁止稳定币收益，属于行业游说行为而非已生效法规，且白宫报告指出实际影响极微，故风险较低。,0.95,北卡罗来纳银行协会呼吁全面禁止稳定币收益，但影响评估极小。,15,low,low,"[""监管与法律风险""]",监管与法律风险,新闻称北卡罗来纳银行协会呼吁在《CLARITY法案》中全面禁止稳定币收益，这属于行业游说行为，尚未成为正式监管措施，法案通过仍存不确定性，对稳定币市场的直接影响有限，因此风险较低。,0.85,北卡罗来纳银行协会呼吁国会全面禁止稳定币收益。
