新闻id,内容,时间,gold_risk_score,rule_risk_score,score_diff,gold_risk_label,rule_risk_label,label_match,gold_risk_types,rule_risk_types,gold_primary_risk_type,rule_primary_risk_type,primary_type_match,gold_reason,gold_confidence,gold_summary,标题,score_hack,score_fraud,score_regulatory,score_outage,score_stablecoin,score_liquidation,score_whale,score_volatility,score_team,score_solvency,score_infra,score_macro
575,摩根士丹利关注区块链技术推动资产高效流动 摩根士丹利（Morgan Stanley）首席财务官Sharon Yeshaya表示，该银行正在关注一个“代币化世界”。据CoinDesk报道，区块链技术将使客户资产和负债在其财富管理平台上更高效地流动。,2026-04-15 23:18:13,0.0,78.0,78.0,low,high,False,[],监管与法律风险|偿付能力 / 储备 / 流动性风险,无明显风险,偿付能力 / 储备 / 流动性风险,False,新闻内容为传统金融机构对区块链技术的正面关注，未提及任何负面风险信号。,0.95,摩根士丹利关注区块链技术以提升资产流动效率。,,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0
368,"AI趋势 | 加密市场普遍上涨，AI板块表现突出 据 Foresight News 报道，SoSoValue 数据显示，加密市场板块普遍上涨，AI板块24小时上涨12.48%。其中，Siren（SIREN）上涨92.70%，SkyAI（SKYAI）上涨32.37%。此外，Bitcoin（BTC）下跌0.14%，维持在7.4万美元附近；Ethereum（ETH）下跌1.12%，跌至2300美元上方。

其他板块方面，Meme板块24小时上涨12.03%，ORDI（ORDI）上涨153.69%；Layer2板块上涨5.36%，Celestia（TIA）上涨22.55%；Layer1板块上涨2.91%，Polkadot（DOT）上涨11.33%；DeFi板块上涨2.82%，Ethena（ENA）上涨11.36%；PayFi板块上涨2.80%，Safe（SAFE）上涨15.49%；CeFi板块上涨1.39%，FTX（FTT）上涨5.43%。

加密板块指数显示，ssiMeme、ssiLayer2、ssiNFT指数分别上涨7.74%、4.91%、4.57%。",2026-04-17 10:23:36,0.0,75.0,75.0,low,high,False,[],异常行情波动风险,无明显风险,异常行情波动风险,False,新闻内容主要描述加密市场普遍上涨，AI板块表现突出，属于普通行业动态和价格波动，无明显负面风险信号。,0.95,加密市场普遍上涨，AI板块涨幅显著，其他板块也多数上涨。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.0,0.0,0.0,0.0
590,Circle 暂无推出韩元稳定币计划，密切关注韩国立法 Foresight News 消息，据 Foresight News 报道，稳定币发行商 Circle 首席执行官 Jeremy Allaire 表示，该公司暂无推出韩元锚定稳定币的计划。Circle 正密切关注韩国相关立法进展，并寻求在当地合规框架下拓展业务。若韩国建立允许全球企业进入的法律路径，Circle 愿意申请牌照并设立本地分支，同时为韩国机构发行稳定币提供技术支持。,2026-04-15 22:03:37,10.0,85.0,75.0,low,high,False,[],稳定币异常风险,无明显风险,稳定币异常风险,False,新闻内容为Circle公司业务规划，无负面风险信号，仅涉及合规关注和潜在合作。,0.95,Circle暂无推出韩元稳定币计划，关注韩国立法以寻求合规拓展。,,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,加密市场 | Aave 多个资金池利用率达 100% 据 NS3 报道，0xQuit 表示，多个 Aave 资金池已达到 100% 的利用率，导致存款人无法提取资金，并增加了坏账风险。0xQuit 还指出，如果 ETH 价格迅速下跌，Aave 无法有效清算头寸，损失可能会加剧。,2026-04-20 14:40:36,75.0,0.0,75.0,high,low,False,"[""偿付能力 / 储备 / 流动性风险"", ""爆仓 / 清算风险"", ""异常行情波动风险""]",,偿付能力 / 储备 / 流动性风险,无明显风险,False,新闻指出 Aave 多个资金池利用率达 100%，导致存款人无法提取资金并增加坏账风险，且 ETH 价格下跌可能加剧损失，显示严重流动性问题和潜在清算危机。,0.9,Aave 多个资金池利用率达 100%，存款人无法提取资金，坏账风险增加。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,AI趋势 | Anthropic推出Claude Mythos Preview，推动加密安全 Anthropic推出了Claude Mythos Preview，并与Project Glasswing合作，提供高达1亿美元的使用额度以保障关键系统。据NS3报道，加密安全高管表示，机器速度的漏洞发现可能会大大缩短从漏洞到利用的路径，涉及智能合约、钱包和桥梁。,2026-04-15 22:24:16,20.0,94.0,74.0,low,high,False,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,新闻提及机器速度的漏洞发现可能缩短漏洞利用路径，涉及智能合约、钱包和桥梁，存在潜在安全风险，但整体为安全合作动态。,0.7,Anthropic推出Claude Mythos Preview并与Project Glasswing合作，提供1亿美元额度保障加密系统安全。,,0.9362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,"DeAgentAI 启动 AIA 代币回购销毁计划，总规模 500 万美元 据 ChainCatcher 报道，SUI 及 BNB 生态去中心化 AI 基础设施项目 DeAgentAI 宣布启动 AIA 代币回购销毁计划，总规模 500 万美元，资金来源为项目协议收入及基于自有 AI 模型产生的交易收入。

此次回购将在 90 天内分三批于公开市场执行，所有回购代币直接销毁，永久移出流通，不涉及任何锁仓或再分配安排。目前，第一批 AIA 回购销毁已完成。DeAgentAI 表示，回购资金完全来源于项目自有业务收入，而非外部融资或代币增发。销毁记录将持续更新。",2026-04-13 18:13:56,10.0,82.0,72.0,low,high,False,[],项目治理 / 团队异常风险,无明显风险,项目治理 / 团队异常风险,False,新闻内容为项目启动代币回购销毁计划，属于中性或正向动态，未涉及负面风险信号。,0.95,DeAgentAI 启动 500 万美元 AIA 代币回购销毁计划，资金来自项目收入。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0
167,Ondo Bridge 安全运营，无资金损失 据 Foresight News 报道，Ondo Finance 针对近期 Kelp DAO 跨链桥攻击事件发文表示，Ondo Bridge 目前安全运营，无任何资金损失或异常事件。Ondo Bridge 基于 LayerZero 构建，采用由四个独立去中心化验证网络（DVN）组成的定制化安全架构，分别为 FCAT、LayerZero Labs、Canary 及 Ondo 自研验证器。即使单一 DVN 出现问题，转账安全性仍可得到保障。,2026-04-19 09:13:40,0.0,70.0,70.0,low,high,False,[],链上漏洞 / 攻击风险,无明显风险,链上漏洞 / 攻击风险,False,新闻内容为 Ondo Bridge 的安全声明，强调其运营正常且无资金损失，属于中性或正向动态，无明显风险信号。,0.95,Ondo Bridge 针对近期攻击事件发布安全声明，表示运营正常无资金损失。,,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,AI趋势 | 交易员利用AI策略实现高收益 交易员Lana利用AI执行交易策略，通过模型自动筛选热点币种并执行下单与止损，实现账户从100美元起步，在约一周内增长至最高约20万美元。据Odaily星球日报报道，Lana目前持有ORDI、1000SATS及1000RATS合约多单。ORDIUSDT合约使用25倍杠杆，开仓价格3.25美元，浮盈2.2万美元，收益率达1299.69%；1000SATSUSDT合约使用25倍杠杆，浮盈5611.01美元，收益率达935.05%；1000RATSUSDT合约使用20倍杠杆，浮盈2926.91美元，收益率达473.48%。,2026-04-16 21:04:14,20.0,85.0,65.0,low,high,False,"[""爆仓 / 清算风险""]",链上漏洞 / 攻击风险,爆仓 / 清算风险,链上漏洞 / 攻击风险,False,新闻描述交易员使用高杠杆（最高25倍）进行交易，虽然当前浮盈高，但杠杆交易存在爆仓风险，可能对市场和个人账户造成冲击。,0.8,交易员利用AI策略和高杠杆实现高收益，持有多个合约多单。,,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,"以太坊 Layer 2 Scroll 手续费大幅上涨，引发外界质疑 据 ChainCatcher 报道，L2BEAT 分析显示，以太坊 Layer 2 网络 Scroll 的用户在约四天内被多收超过 5 万美元交易手续费。Scroll 团队在六天内对其 Gas 价格预言机中的两个费率乘数进行六次手动调升，累计将 L1 数据成本参数提高至原始基准的 1,280 倍。

受影响的约 139,000 笔交易原本总成本仅约 280 美元，实际却被收取超过 5 万美元，其中自动化机器人占绝大多数。L2BEAT 指出，超收并非排序器问题，而是来自团队通过多重签名钱包执行的乘数调整。此事引发外界质疑 Scroll 此前是否以低于成本的费率补贴用户以维持活跃度。据 DeFiLlama 数据，Scroll 目前 TVL 仅 2,400 万美元，较 2024 年 10 月高峰的 5.85 亿美元下跌 96%。截至发稿时，Scroll 尚未公开回应。",2026-04-13 10:56:23,65.0,0.0,65.0,medium,low,False,"[""项目治理 / 团队异常风险"", ""基础设施 / 协议层异常风险""]",,项目治理 / 团队异常风险,无明显风险,False,Scroll团队手动大幅调升手续费，导致用户被多收费用，引发外界质疑其运营透明度和补贴策略，可能损害用户信任。,0.85,Scroll团队手动调升手续费致用户被多收超5万美元，引发质疑和TVL大幅下跌。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SKYAI 暴跌超 50%，现报 0.1 美元 行情数据显示，SKYAI 短时下跌超 50%，现报 0.1 美元。据Odaily星球日报报道，市场对该资产的波动性表示关注。,2026-04-20 16:53:57,65.0,0.0,65.0,medium,low,False,"[""异常行情波动风险""]",,异常行情波动风险,无明显风险,False,新闻报告SKYAI短时暴跌超50%，属于异常剧烈价格波动，可能引发市场恐慌和投资者损失。,0.85,SKYAI短时暴跌超50%，现报0.1美元，市场关注其波动性。,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
